[INFO] [1742595809.632293]: Localization Node Started.
[INFO] [1742595822.737660]: Linear Vel: 0.000, Angular Vel: 0.177
[INFO] [1742595822.837571]: Linear Vel: 0.000, Angular Vel: 0.181
[INFO] [1742595822.937662]: Linear Vel: 0.000, Angular Vel: 0.180
[INFO] [1742595823.037598]: Linear Vel: 0.100, Angular Vel: 0.172
[INFO] [1742595823.137589]: Linear Vel: 0.100, Angular Vel: 0.164
[INFO] [1742595823.237533]: Linear Vel: 0.100, Angular Vel: 0.164
[INFO] [1742595823.337614]: Linear Vel: 0.100, Angular Vel: 0.163
[INFO] [1742595823.437667]: Linear Vel: 0.100, Angular Vel: 0.166
[INFO] [1742595823.537561]: Linear Vel: 0.100, Angular Vel: 0.170
[INFO] [1742595823.637633]: Linear Vel: 0.100, Angular Vel: 0.174
[INFO] [1742595823.737660]: Linear Vel: 0.100, Angular Vel: 0.174
[INFO] [1742595823.837611]: Linear Vel: 0.000, Angular Vel: 0.178
[INFO] [1742595823.937812]: Linear Vel: 0.000, Angular Vel: 0.181
[INFO] [1742595824.037802]: Linear Vel: 0.000, Angular Vel: 0.177
[INFO] [1742595824.137624]: Linear Vel: 0.100, Angular Vel: 0.172
[INFO] [1742595824.237626]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595824.337751]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595824.437653]: Linear Vel: 0.100, Angular Vel: 0.174
[INFO] [1742595824.537826]: Linear Vel: 0.100, Angular Vel: 0.174
[INFO] [1742595824.637614]: Linear Vel: 0.000, Angular Vel: 0.177
[INFO] [1742595824.737737]: Linear Vel: 0.000, Angular Vel: 0.180
[INFO] [1742595824.837645]: Linear Vel: 0.000, Angular Vel: 0.176
[INFO] [1742595824.937694]: Linear Vel: 0.100, Angular Vel: 0.172
[INFO] [1742595825.037534]: Linear Vel: 0.100, Angular Vel: 0.161
[INFO] [1742595825.137547]: Linear Vel: 0.100, Angular Vel: 0.165
[INFO] [1742595825.237592]: Linear Vel: 0.100, Angular Vel: 0.163
[INFO] [1742595825.337701]: Linear Vel: 0.100, Angular Vel: 0.163
[INFO] [1742595825.437621]: Linear Vel: 0.100, Angular Vel: 0.167
[INFO] [1742595825.537653]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595825.637606]: Linear Vel: 0.000, Angular Vel: 0.176
[INFO] [1742595825.737580]: Linear Vel: 0.000, Angular Vel: 0.181
[INFO] [1742595825.837494]: Linear Vel: 0.000, Angular Vel: 0.175
[INFO] [1742595825.937629]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595826.037628]: Linear Vel: 0.100, Angular Vel: 0.166
[INFO] [1742595826.137600]: Linear Vel: 0.100, Angular Vel: 0.169
[INFO] [1742595826.237689]: Linear Vel: 0.100, Angular Vel: 0.167
[INFO] [1742595826.337646]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595826.437633]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595826.537681]: Linear Vel: 0.000, Angular Vel: 0.176
[INFO] [1742595826.637691]: Linear Vel: 0.100, Angular Vel: 0.174
[INFO] [1742595826.737721]: Linear Vel: 0.100, Angular Vel: 0.173
[INFO] [1742595826.837786]: Linear Vel: 0.000, Angular Vel: 0.175
[INFO] [1742595826.937715]: Linear Vel: 0.000, Angular Vel: 0.179
[INFO] [1742595827.037705]: Linear Vel: 0.100, Angular Vel: 0.173
[INFO] [1742595827.137758]: Linear Vel: 0.100, Angular Vel: 0.169
[INFO] [1742595827.237786]: Linear Vel: 0.100, Angular Vel: 0.172
[INFO] [1742595827.337616]: Linear Vel: 0.000, Angular Vel: 0.175
[INFO] [1742595827.437587]: Linear Vel: 0.100, Angular Vel: 0.173
[INFO] [1742595827.537617]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595827.637854]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595827.737742]: Linear Vel: 0.000, Angular Vel: 0.175
[INFO] [1742595827.837678]: Linear Vel: 0.100, Angular Vel: 0.174
[INFO] [1742595827.937653]: Linear Vel: 0.100, Angular Vel: 0.173
[INFO] [1742595828.037655]: Linear Vel: 0.000, Angular Vel: 0.175
[INFO] [1742595828.137582]: Linear Vel: 0.000, Angular Vel: 0.178
[INFO] [1742595828.237624]: Linear Vel: 0.100, Angular Vel: 0.173
[INFO] [1742595828.337662]: Linear Vel: 0.100, Angular Vel: 0.171
[INFO] [1742595828.437807]: Linear Vel: 0.100, Angular Vel: 0.169
[INFO] [1742595828.537742]: Linear Vel: 0.100, Angular Vel: 0.172
[INFO] [1742595828.637663]: Linear Vel: 0.100, Angular Vel: 0.173
[INFO] [1742595828.737684]: Linear Vel: 0.000, Angular Vel: 0.177
[INFO] [1742595828.837699]: Linear Vel: 0.000, Angular Vel: 0.178
[INFO] [1742595828.937668]: Linear Vel: 0.000, Angular Vel: 0.175
[INFO] [1742595829.037687]: Linear Vel: 0.100, Angular Vel: 0.162
[INFO] [1742595829.137707]: Linear Vel: 0.100, Angular Vel: 0.144
[INFO] [1742595829.237633]: Linear Vel: 0.100, Angular Vel: 0.137
[INFO] [1742595829.337623]: Linear Vel: 0.100, Angular Vel: 0.139
[INFO] [1742595829.437702]: Linear Vel: 0.100, Angular Vel: 0.138
[INFO] [1742595829.537639]: Linear Vel: 0.100, Angular Vel: 0.138
[INFO] [1742595829.637694]: Linear Vel: 0.100, Angular Vel: 0.142
[INFO] [1742595829.737590]: Linear Vel: 0.100, Angular Vel: 0.146
[INFO] [1742595829.837736]: Linear Vel: 0.100, Angular Vel: 0.149
